Domain,Type,Agency,Organization,City,State,Security Contact Email,v,p,sp,pct,adkim,aspf,fo,ruf,rua,rf,ri,
AUSTINTEXAS.GOV,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov,DMARC1,none,none,100,r,r,0,none,mailto:dmarc_agg@valigov.email,afrf,86400,
AUSTINTX.GOV,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov,DMARC1,none,none,100,r,r,0,none,mailto:dmarc_agg@valigov.email,afrf,86400,
AVON-MA.GOV,City,Non-Federal Agency,Town of Avon,Avon,MA,(blank),null,,,,,,,,,,,
AVONCT.GOV,City,Non-Federal Agency,Town of Avon,Avon,CT,(blank),null,,,,,,,,,,,
AVONDALEAZ.GOV,City,Non-Federal Agency,City of Avondale,Avondale,AZ,(blank),DMARC1,none,none,100,r,r,0,none,mailto:re+qqmimfshlac@dmarc.postmarkapp.com,afrf,86400,
AVONDALEESTATESGA.GOV,City,Non-Federal Agency,Avondale Estates,Avondale Estates,GA,security@avondaleestates.org,null,,,,,,,,,,,
AVONINDIANA.GOV,City,Non-Federal Agency,Town of Avon Indiana,Avon,IN,jwade@avongov.org,null,,,,,,,,,,,
AZ-FHSD.GOV,City,Non-Federal Agency,Fountain Hills Sanitary District,Fountain Hills,AZ,(blank),null,,,,,,,,,,,
AZTECNM.GOV,City,Non-Federal Agency,City of Aztec,Aztec,NM,(blank),null,,,,,,,,,,,
AZUSACA.GOV,City,Non-Federal Agency,City of Azusa,Azusa,CA,(blank),null,,,,,,,,,,,
BADENPA.GOV,City,Non-Federal Agency,Borough of Baden,Baden,PA,(blank),null,,,,,,,,,,,
BAGLEYTOWNSHIPMI.GOV,City,Non-Federal Agency,Bagley Township,Gaylord,MI,kps@shumakergroup.com,null,,,,,,,,,,,
BAILEYSHARBORWI.GOV,City,Non-Federal Agency,Town of Baileys Harbor,BAILEYS HARBOR,WI,admin@baileysharborwi.org,null,,,,,,,,,,,
BAINBRIDGEWA.GOV,City,Non-Federal Agency,City of Bainbridge Island,Bainbridge Island,WA,mdalton@bainbridgewa.gov,null,,,,,,,,,,,
BAKERCITY.GOV,City,Non-Federal Agency,City of Baker City,Baker City,OR,(blank),null,,,,,,,,,,,
BAKERCITYPD.GOV,City,Non-Federal Agency,Baker City,Baker City,OR,pdadmin@bakercitypd.gov,null,,,,,,,,,,,
BAKERSFIELD-CA.GOV,City,Non-Federal Agency,City of Bakersfield,Bakersfield,CA,helpdesk@bakersfieldcity.us,null,,,,,,,,,,,
BALDWINCITY.GOV,City,Non-Federal Agency,"""City of Baldwin City"," KS""",Baldwin City,KS,null,,,,,,,,,,,
BALHARBOURFL.GOV,City,Non-Federal Agency,Bal Harbour Village,Bal Harbour,FL,rcarmenaty@balharbourfl.gov,null,,,,,,,,,,,
BALTIMORECITY.GOV,City,Non-Federal Agency,Mayor's Office of Information Technology,Baltimore,MD,kevin.kearney@baltimorecity.gov,DMARC1,none,none,100,r,r,1,mailto:9b027d85@forensics.dmarc-report.com,mailto:9b027d85@mxtoolbox.dmarc-report.com,afrf,86400,
BALTIMORECITYBNMD.GOV,City,Non-Federal Agency,Baltimore City Office of Information & Technology (BCIT),Baltimore,MD,Kevin.Kearney@baltimorecity.gov,null,,,,,,,,,,,
BANGORMAINE.GOV,City,Non-Federal Agency,City of Bangor,Bangor,ME,(blank),DMARC1,none,none,100,r,r,1,mailto:emailstatus@bangormaine.gov,mailto:emailstatus@bangormaine.gov,afrf,86400,
BANNINGCA.GOV,City,Non-Federal Agency,City of Banning,Banning,CA,support@ci.banning.ca.us,DMARC1,none,none,100,r,r,1,mailto:monitor@banningca.gov,mailto:monitor@banningca.gov,afrf,86400,
BARABOOWI.GOV,City,Non-Federal Agency,City of Baraboo,Baraboo,WI,saukmis@cityofbaraboo.com,null,,,,,,,,,,,
BARDSTOWNKY.GOV,City,Non-Federal Agency,City Of Bardstown,Bardstown,KY,noc@bardstowncable.net,DMARC1,none,none,100,r,r,0,none,mailto:16ddwae9@ag.us.dmarcian.com,afrf,86400,
BARHARBORMAINE.GOV,City,Non-Federal Agency,Town of Bar Harbor,Bar Harbor,ME,(blank),null,,,,,,,,,,,
BARLINGAR.GOV,City,Non-Federal Agency,City of Barling,Barling,AR,(blank),null,,,,,,,,,,,
BARNESVILLEOHIO.GOV,City,Non-Federal Agency,Village of Barnesville,Barnesville,OH,webmaster@barnesvilleohio.com,null,,,,,,,,,,,
BARRINGTON-IL.GOV,City,Non-Federal Agency,Village of Barrington,Barrington,IL,tgilbert@barrington-il.gov,null,,,,,,,,,,,
BARRINGTONHILLS-IL.GOV,City,Non-Federal Agency,Village of Barrington Hills,Barrington Hills,IL,(blank),null,,,,,,,,,,,
BARRYTOWNSHIPMN.GOV,City,Non-Federal Agency,Barry Township,Hinckley,MN,barrytwpclerk@gmail.com,null,,,,,,,,,,,
BARTLETTIL.GOV,City,Non-Federal Agency,Village of Bartlett,Bartlett,IL,bartlett@vbartlett.org,DMARC1,none,none,100,r,r,0,none,mailto:dmarc_agg@vali.email,afrf,86400,
BASSLAKEWI.GOV,City,Non-Federal Agency,Town of Bass Lake,Hayward,WI,ericaw@basslakewi.gov,null,,,,,,,,,,,
BATAVIAIL.GOV,City,Non-Federal Agency,City of Batavia,Batavia,IL,exchgrp_ismonitor@cityofbatavia.net,null,,,,,,,,,,,
BATAVIAOH.GOV,City,Non-Federal Agency,Village of Batavia,Batavia,OH,info@bataviavillage.org,null,,,,,,,,,,,
BATESVILLEARKANSAS.GOV,City,Non-Federal Agency,City of Batesville,Batesville,AR,itdir@cityofbatesville.com,spf1,error,error,100,r,r,0,none,none,afrf,86400,
BATONROUGELA.GOV,City,Non-Federal Agency,City of Baton Rouge / Parish of East Baton Rouge,Baton Rouge,LA,(blank),null,,,,,,,,,,,
BATTLECREEKMI.GOV,City,Non-Federal Agency,City of Battle Creek,Battle Creek,MI,security@battlecreekmi.gov,null,,,,,,,,,,,
BATTLEFIELDMO.GOV,City,Non-Federal Agency,City of Battlefield,Battlefield,MO,(blank),null,,,,,,,,,,,
BAXLEYGA.GOV,City,Non-Federal Agency,City of Baxley,Baxley,GA,chendrix@atc.cc,null,,,,,,,,,,,
BAXTERMN.GOV,City,Non-Federal Agency,City of Baxter,Baxter,MN,(blank),null,,,,,,,,,,,
BAYCITYMI.GOV,City,Non-Federal Agency,City of Bay City,Bay City,MI,kedmonds@baycitymi.org,null,,,,,,,,,,,
BAYHARBORISLANDS-FL.GOV,City,Non-Federal Agency,Town of Bay Harbor Islands,Bay Harbor Islands,FL,(blank),null,,,,,,,,,,,
BAYSIDEWI.GOV,City,Non-Federal Agency,Village of Bayside,Bayside,WI,dhaley@baysidewi.gov,null,,,,,,,,,,,
BAYSTLOUIS-MS.GOV,City,Non-Federal Agency,City of Bay St. Louis,Bay St. Louis,MS,mark@northshorecomputerservices.net,null,,,,,,,,,,,
BAYVILLENY.GOV,City,Non-Federal Agency,Incorporated Village of Bayville,Bayville,NY,(blank),null,,,,,,,,,,,
BCUTAH.GOV,City,Non-Federal Agency,Brigham City,Brigham City,UT,rwilkerson@bcutah.org,DMARC1,quarantine,quarantine,100,r,r,1,mailto:dmarc@bcutah.org,"mailto:dmarc@bcutah.org,mailto:dmarc_agg@vali.email",afrf,86400,
BEACHHAVEN-NJ.GOV,City,Non-Federal Agency,Borough of Beach Haven,Beach Haven,NJ,service@spar.com,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
BEACONNY.GOV,City,Non-Federal Agency,City of Beacon,Beacon,NY,eackerley@enableyourbiz.com,DMARC1,none,none,100,r,r,0,none,mailto:beaconit@beaconny.gov,afrf,86400,
BEARCREEKTOWNSHIPMI.GOV,City,Non-Federal Agency,Bear Creek Township,Petoskey,MI,secretary@bearcreektownship.com,DMARC1,quarantine,quarantine,100,r,r,1,none,none,afrf,86400,
BEAUMONT-CA.GOV,City,Non-Federal Agency,"""City of Beaumont"," California""",Beaumont,CA,null,,,,,,,,,,,
BEAUMONTCA.GOV,City,Non-Federal Agency,City of Beaumont,Beaumont,CA,(blank),DMARC1,none,none,100,r,r,1,mailto:itadmin@beaumontca.gov,mailto:itadmin@beaumontca.gov,afrf,86400,
BEAUMONTCABUSINESS.GOV,City,Non-Federal Agency,City of Beaumont,Beaumont,CA,it@beaumontca.gov,null,,,,,,,,,,,
BEAUMONTTEXAS.GOV,City,Non-Federal Agency,City of Beaumont,Beaumont,TX,webmaster@beaumonttexas.gov,DMARC1,reject,reject,100,r,r,1,mailto:ed9d2fac@forensics.dmarc-report.com,mailto:ed9d2fac@mxtoolbox.dmarc-report.com,afrf,86400,
BEAUXARTS-WA.GOV,City,Non-Federal Agency,Town of Beaux Arts Village,Beaux Arts,WA,townhall@beauxarts-wa.gov,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
BEAVERCREEKOHIO.GOV,City,Non-Federal Agency,City of Beavercreek,Beavercreek,OH,(blank),null,,,,,,,,,,,
BEAVERPA.GOV,City,Non-Federal Agency,Borough of Beaver,Beaver,PA,(blank),null,,,,,,,,,,,
BEAVERTONOREGON.GOV,City,Non-Federal Agency,City of Beaverton,Beaverton,OR,mailboxisdhelpdesk@beavertonoregon.gov,DMARC1,reject,reject,100,r,r,1,mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_rua@emaildefense.proofpoint.com,afrf,86400,
BEAVERTWP-OH.GOV,City,Non-Federal Agency,Beaver Township,North Lima,OH,eddattilo@beavertwp-oh.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
BECKEMEYERIL.GOV,City,Non-Federal Agency,City of Beckemeyer,Beckemeyer,IL,villageofbec@ezeeweb.com,null,,,,,,,,,,,
BEDFORDCHARTERTWPMI.GOV,City,Non-Federal Agency,Charter Township of Bedford,Battle Creek,MI,todd.lyman@vc3.com,null,,,,,,,,,,,
BEDFORDHEIGHTS.GOV,City,Non-Federal Agency,City of Bedford Heights,Bedford Heights,OH,(blank),null,,,,,,,,,,,
BEDFORDMA.GOV,City,Non-Federal Agency,Town of Bedford,Bedford,MA,(blank),null,,,,,,,,,,,
BEDFORDNY.GOV,City,Non-Federal Agency,Town of Bedford,Bedford Hills,NY,(blank),null,,,,,,,,,,,
BEDFORDOH.GOV,City,Non-Federal Agency,City of Bedford,Bedford,OH,(blank),null,,,,,,,,,,,
BEDFORDTX.GOV,City,Non-Federal Agency,City of Bedford,Bedford,TX,levi.miller@bedfordtx.gov,DMARC1,reject,reject,100,r,r,1,"mailto:e190489a@forensics.dmarc-report.com,mailto:ruf+bedfordtx.gov@dmarc.barracudanetworks.com","mailto:e190489a@mxtoolbox.dmarc-report.com,mailto:rua+bedfordtx.gov@dmarc.barracudanetworks.com",afrf,86400,
BEDFORDVA.GOV,City,Non-Federal Agency,Town of Bedford,Bedford,VA,jholmes@bedfordva.gov,null,,,,,,,,,,,
BEECAVETEXAS.GOV,City,Non-Federal Agency,City of Bee Cave,Bee Cave,TX,(blank),null,,,,,,,,,,,
BELAIREKS.GOV,City,Non-Federal Agency,City of Bel Aire,Bel Aire,KS,general@gilmoresolutions.com,null,,,,,,,,,,,
BELEN-NM.GOV,City,Non-Federal Agency,City of Belen,Belen,NM,(blank),null,,,,,,,,,,,
BELGIUMWI.GOV,City,Non-Federal Agency,Village of Belgium,Belgium,WI,jlesar@belgiumwi.gov,null,,,,,,,,,,,
BELGRADEMT.GOV,City,Non-Federal Agency,City of Belgrade,Belgrade,MT,helpdesk@getsystems.net,DMARC1,quarantine,quarantine,100,r,r,1,mailto:dmarc@belgrademt.gov,mailto:dmarc@belgrademt.gov,afrf,86400,
BELLAIRETX.GOV,City,Non-Federal Agency,City of Bellaire,Bellaire,TX,techsupport@bellairetx.gov,null,,,,,,,,,,,
BELLAVISTAAR.GOV,City,Non-Federal Agency,City of Bella Vista,Bella Vista,AR,(blank),null,,,,,,,,,,,
BELLEAIRBLUFFS-FL.GOV,City,Non-Federal Agency,City of Belleair Bluffs,Belleair Bluffs,FL,(blank),null,,,,,,,,,,,
BELLEFONTEPA.GOV,City,Non-Federal Agency,Borough of Bellefonte,Bellefonte,PA,lmcgowan@bellefontepa.gov,null,,,,,,,,,,,
BELLEISLEFL.GOV,City,Non-Federal Agency,"""City of Belle Isle"," Florida""",Belle Isle,FL,null,,,,,,,,,,,
BELLEMEADE-KY.GOV,City,Non-Federal Agency,City of Bellemeade,Louisville,KY,mayor@bellemeade-ky.gov,null,,,,,,,,,,,
BELLEPLAINEIOWA.GOV,City,Non-Federal Agency,City of Belle Plaine,Belle Plaine,IA,cityofbp@belleplaineiowa.gov,DMARC1,none,none,100,r,r,0,none,mailto:john@forbintech.com,afrf,86400,
BELLEPLAINEMN.GOV,City,Non-Federal Agency,City of Belle Plaine,Belle Plaine,MN,administrator@ci.belleplaine.mn.us,null,,,,,,,,,,,
BELLERIVEACRESMO.GOV,City,Non-Federal Agency,City of Bellerive Acres,Normandy,MO,(blank),null,,,,,,,,,,,
BELLEVUEIA.GOV,City,Non-Federal Agency,"""City of Bellevue"," Iowa""",Bellevue,IA,DMARC1,quarantine,quarantine,100,r,r,1:d:s,mailto:report@bellevueia.gov,none,afrf,86400,
BELLEVUEWA.GOV,City,Non-Federal Agency,City of Bellevue,Bellevue,WA,kban@bellevuewa.gov,DMARC1,quarantine,quarantine,100,r,r,0,mailto:itoperations@bellevuewa.gov,"mailto:dmarc_agg@vali.email,mailto:itoperations@bellevuewa.gov",afrf,86400,
BELLMEADTX.GOV,City,Non-Federal Agency,City of Bellmead,Bellmead,TX,kevans@bellmead.com,null,,,,,,,,,,,
BELLPORTVILLAGENY.GOV,City,Non-Federal Agency,Village of Bellport,Bellport,NY,(blank),null,,,,,,,,,,,
BELMONT-MA.GOV,City,Non-Federal Agency,Town of Belmont,Belmont,MA,(blank),DMARC1,none,none,100,r,r,0,none,mailto:re+vg8uzbqpdjr@dmarc.postmarkapp.com,afrf,86400,
BELMONT.GOV,City,Non-Federal Agency,City of Belmont,Belmont,CA,is@belmont.gov,null,,,,,,,,,,,
BELMONTNH.GOV,City,Non-Federal Agency,Town of Belmont,Belmont,NH,support@ccsnh.com,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
BELOITWI.GOV,City,Non-Federal Agency,City of Beloit,Beloit,WI,(blank),null,,,,,,,,,,,
BELTONTEXAS.GOV,City,Non-Federal Agency,"""City of Belton"," TX""",Belton,TX,null,,,,,,,,,,,
BELVIDEREIL.GOV,City,Non-Federal Agency,City of Belvidere,Bevlvidere,IL,it@boonecountyil.gov,null,,,,,,,,,,,
BELVIDEREPOLICEIL.GOV,City,Non-Federal Agency,Belvidere Police,Belvidere,IL,joshroberson@boonecountysheriff.com,DMARC1,none,none,100,r,r,0,mailto:19x64iwj@fr.us.dmarcian.com,mailto:19x64iwj@ag.us.dmarcian.com,afrf,86400,
BELVIDERETOWNSHIPMI.GOV,City,Non-Federal Agency,Belvidere Township,Six Lakes,MI,kps@shumakergroup.com,null,,,,,,,,,,,
BENBROOK-TX.GOV,City,Non-Federal Agency,City of Benbrook,Benbrook,TX,wcooper@benbrook-tx.gov,DMARC1,none,none,100,r,r,0,mailto:DMARC@benbrook-tx.gov,mailto:DMARC@benbrook-tx.gov,afrf,86400,
BENDOREGON.GOV,City,Non-Federal Agency,City of Bend,Bend,OR,Cybersecurityteam@bendoregon.gov,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
BENNINGTONNE.GOV,City,Non-Federal Agency,City of Bennington,Bennington,NE,(blank),null,,,,,,,,,,,
BENNINGTONTOWNSHIPMI.GOV,City,Non-Federal Agency,Bennington Township,Owosso,MI,golakers_spam@charter.net,null,,,,,,,,,,,
BENSALEMPA.GOV,City,Non-Federal Agency,Bensalem Township,Bensalem,PA,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:DMARC@bensalempa.gov,afrf,86400,
BENSONAZ.GOV,City,Non-Federal Agency,City of Benson,Benson,AZ,itsupport@bensonaz.gov,null,,,,,,,,,,,
BENSONVERMONT.GOV,City,Non-Federal Agency,"""Town of Benson"," Vermont""",Benson,VT,null,,,,,,,,,,,
BENTLEYKS.GOV,City,Non-Federal Agency,City of Bentley,Bentley,KS,jtbryan@bentleyks.gov,DMARC1,reject,reject,100,r,r,0,none,mailto:postmaster@bentleyks.gov,afrf,86400,
BENTONCHARTERTOWNSHIP-MI.GOV,City,Non-Federal Agency,Benton Charter Township,Benton Harbor,MI,(blank),null,,,,,,,,,,,
BENTONIL.GOV,City,Non-Federal Agency,City of Benton,Benton,IL,clerk@bentonil.gov,null,,,,,,,,,,,
BENTONWI.GOV,City,Non-Federal Agency,Village of Benton,Benton,WI,info@bentonwi.gov,null,,,,,,,,,,,
BEREAKY.GOV,City,Non-Federal Agency,City of Berea,Berea,KY,(blank),null,,,,,,,,,,,
BERGENFIELDNJ.GOV,City,Non-Federal Agency,Borough of Bergenfield,Bergenfield,NJ,anthony@gtbm.com,DMARC1,none,none,100,s,s,1,mailto:aa127mq133@ruf.powerdmarc.com,mailto:aa127mq133@rua.powerdmarc.com,afrf,86400,
BERGENFIELDNJPD.GOV,City,Non-Federal Agency,Borough of Bergenfield,Bergenfield,NJ,support@gtbm.com,null,,,,,,,,,,,
BERKELEYCA.GOV,City,Non-Federal Agency,City of Berkeley,Berkeley,CA,website_security@cityofberkeley.info,DMARC1,quarantine,quarantine,100,r,r,0,none,"mailto:postmaster@cityofberkeley.info,mailto:dmarc_agg@vali.email",afrf,86400,
BERKELEYHEIGHTS.GOV,City,Non-Federal Agency,Township of Berkeley Heights,Berkeley Heights,NJ,lviana@bhtwp.com,null,,,,,,,,,,,
BERLINAL.GOV,City,Non-Federal Agency,Town of Berlin,Cullman,AL,(blank),null,,,,,,,,,,,
BERLINCT.GOV,City,Non-Federal Agency,Town of Berlin,Berlin,CT,(blank),DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
BERLINMD.GOV,City,Non-Federal Agency,Town of Berlin,Berlin,MD,mbohlen@berlinmd.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
BERLINNH.GOV,City,Non-Federal Agency,City of Berlin,Berlin,NH,plaflamme@berlinnh.gov,null,,,,,,,,,,,
BERLINNHPD.GOV,City,Non-Federal Agency,Berlin Police Department,Berlin,NH,support@sns.com,null,,,,,,,,,,,
BERLINTWPMI.GOV,City,Non-Federal Agency,Berlin Township,Ionia,MI,contact@gov365.us,null,,,,,,,,,,,
BERLINVT.GOV,City,Non-Federal Agency,Town of Berlin,Berlin,VT,admin@berlinvt.gov,null,,,,,,,,,,,
BERRYVILLEAR.GOV,City,Non-Federal Agency,City of Berryville,Berryville,AR,support@skippits.com,null,,,,,,,,,,,
BERRYVILLEVA.GOV,City,Non-Federal Agency,Town of Berryville - Virginia,Berryville,VA,financeclerk@berryvilleva.gov,null,,,,,,,,,,,
BERTHOLD-ND.GOV,City,Non-Federal Agency,Berthold North Dakota,Berthold,ND,clerkofcourt@berthold-nd.gov,null,,,,,,,,,,,
BERWICKPA.GOV,City,Non-Federal Agency,Borough of Berwick,Berwick,PA,tech@mailmbc.com,DMARC1,reject,none,100,r,r,0,none,none,afrf,86400,
BERWYN-IL.GOV,City,Non-Federal Agency,City of Berwyn,Berwyn,IL,jfrank@berwyn-il.gov,DMARC1,quarantine,none,100,r,r,0,none,mailto:abuse@berwyn-il.gov,afrf,86400,
BERWYNHEIGHTSMD.GOV,City,Non-Federal Agency,Town of Berwyn Heights,Berwyn Heights,MD,mfriesen@berwynheightsmd.gov,null,,,,,,,,,,,
BETHANYBEACH-DE.GOV,City,Non-Federal Agency,Town of Bethany Beach,Bethany Beach,DE,(blank),null,,,,,,,,,,,
BETHANYTOWNSHIPMI.GOV,City,Non-Federal Agency,Bethany Township,Saint Louis,MI,kps@shumakergroup.com,null,,,,,,,,,,,
BETHEL-CT.GOV,City,Non-Federal Agency,"""Town Of Bethel"," CT""",Bethel,CT,null,,,,,,,,,,,
BETHEL-OH.GOV,City,Non-Federal Agency,Village of Bethel,Bethel,OH,(blank),null,,,,,,,,,,,
BETHELPARKPA.GOV,City,Non-Federal Agency,Municipality of Bethel Park,Bethel Park,PA,admin@bethelpark.net,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:it@bethelparkpa.gov,afrf,86400,
BETHELPARKPAPOLICE.GOV,City,Non-Federal Agency,Bethel Park Police Department,Bethel Park,PA,admin@bethelpark.net,DMARC1,quarantine,none,100,s,r,0,none,mailto:it@bethelparkpapolice.gov,afrf,86400,
BETHELTWPLEBANON.GOV,City,Non-Federal Agency,Bethel Township,Fredericksburg,PA,support@pointsolve.com,null,,,,,,,,,,,
BETHLEHEM-PA.GOV,City,Non-Federal Agency,City of Bethlehem,Bethlehem,PA,(blank),null,,,,,,,,,,,
BETHLEHEMNJ.GOV,City,Non-Federal Agency,Township of Bethlehem,Asbury,NJ,abuse@roundmountaingroup.com,null,,,,,,,,,,,
BETHLEHEMWV.GOV,City,Non-Federal Agency,Village of Bethlehem WV,Wheeling,WV,bethlehem@vob2015.comcastbiz.net,null,,,,,,,,,,,
BETTENDORF.GOV,City,Non-Federal Agency,"""City of Bettendorf"," IA""",Bettendorf,IA,null,,,,,,,,,,,
BEVERLYHILLS-CA.GOV,City,Non-Federal Agency,City of Beverly Hills,Beverly Hills,CA,(blank),null,,,,,,,,,,,
BEVERLYHILLSCA.GOV,City,Non-Federal Agency,City of Beverly Hills,Beverly Hills,CA,(blank),null,,,,,,,,,,,
BEVERLYHILLSTX.GOV,City,Non-Federal Agency,City of Beverly Hills,Beverly Hills,TX,kmartin@beverlyhillstexas.net,null,,,,,,,,,,,
BEVERLYMA.GOV,City,Non-Federal Agency,City of Beverly MA,Beverly,MA,(blank),DMARC1,none,none,100,r,r,0,none,mailto:webmaster@beverlyma.gov,afrf,86400,
BHTX.GOV,City,Non-Federal Agency,City of Balcones Heights,Balcones Heights,TX,support@rrgp.com,null,,,,,,,,,,,
BIGFLATSNY.GOV,City,Non-Federal Agency,Town of Big Flats,Big Flats,NY,(blank),null,,,,,,,,,,,
BIGGS-CA.GOV,City,Non-Federal Agency,"""Biggs"," California""",Biggs,CA,null,,,,,,,,,,,
BIGRAPIDSTOWNSHIPMI.GOV,City,Non-Federal Agency,Big Rapids Charter Township,Big Rapids,MI,supervisorstanek@bigrapidstownship.net,null,,,,,,,,,,,
BIGSANDYTX.GOV,City,Non-Federal Agency,City of Big Sandy,Big Sandy,TX,(blank),null,,,,,,,,,,,
BIGWATERUT.GOV,City,Non-Federal Agency,Big Water Municipal,Big Water,UT,bigwaterclerk@gmail.com,null,,,,,,,,,,,
BILLINGSMT.GOV,City,Non-Federal Agency,City of Billings,Billings,MT,security@billingsmt.gov,DMARC1,none,none,100,r,r,1,mailto:f99d18bf2597064@for.dmarcanalyzer.com,mailto:f99d18bf2597064@rep.dmarcanalyzer.com,afrf,86400,
BILLINGSMTPUBLICWORKS.GOV,City,Non-Federal Agency,City of Billings Public Works Department,Billings,MT,(blank),null,,,,,,,,,,,
BINGHAMTON-NY.GOV,City,Non-Federal Agency,City of Binghamton,Binghamton,NY,it@cityofbinghamton.com,null,,,,,,,,,,,
BIRMINGHAMAL.GOV,City,Non-Federal Agency,City of Birmingham,Birmingham,AL,adminnotify@birminghamal.gov,DMARC1,reject,reject,100,r,r,0,mailto:2k8w4csk@fr.us.dmarcian.com,mailto:2k8w4csk@ag.us.dmarcian.com,afrf,86400,
BIRMINGHAMAL911.GOV,City,Non-Federal Agency,Birmingham Emergency Communication District,Birmingham,AL,security@birminghamal911.gov,null,,,,,,,,,,,
BISBEEAZ.GOV,City,Non-Federal Agency,City of Bisbee,Bisbee,AZ,jeffery.stuck@executech.com,null,,,,,,,,,,,
BISCAYNEPARKFL.GOV,City,Non-Federal Agency,Village of Biscayne Park,Biscayne Park,FL,(blank),null,,,,,,,,,,,
BISMARCKND.GOV,City,Non-Federal Agency,City of Bismarck,Bismarck,ND,it@bismarcknd.gov,DMARC1,none,none,100,r,r,0,mailto:it@bismarcknd.gov,mailto:it@bismarcknd.gov,afrf,86400,
BIXBYOK.GOV,City,Non-Federal Agency,City of Bixby,Bixby,OK,WebServicesAdmin@bixbyok.gov,null,,,,,,,,,,,
BLACKBROOKWI.GOV,City,Non-Federal Agency,Town of Black Brook,Clear Lake,WI,domainsecurity@blackbrookwi.gov,null,,,,,,,,,,,
BLACKDIAMONDWA.GOV,City,Non-Federal Agency,City of Black Diamond,Black Diamond,WA,(blank),DMARC1,quarantine,quarantine,100,r,r,1,mailto:dmarc_f@blackdiamondwa.gov,mailto:dmarc_a@blackdiamondwa.gov,afrf,86400,
BLACKSBURG.GOV,City,Non-Federal Agency,Town of Blacksburg,Blacksburg,VA,tddeptstaff@blacksburg.gov,null,,,,,,,,,,,
BLADENSBURGMD.GOV,City,Non-Federal Agency,Town of Bladensburg,Bladensburg,MD,(blank),DMARC1,none,none,100,r,r,0,none,mailto:tcollington@bladensburgmd.gov,afrf,86400,
BLAINEMN.GOV,City,Non-Federal Agency,City of Blaine,Blaine,MN,handrea@blainemn.gov,null,,,,,,,,,,,
BLAINETN.GOV,City,Non-Federal Agency,City of Blaine,Blaine,TN,htw62488@gmail.com,null,,,,,,,,,,,
BLAIRSVILLE-GA.GOV,City,Non-Federal Agency,City of Blairsville,Blairsville,GA,(blank),null,,,,,,,,,,,
BLAIRTOWNSHIPMI.GOV,City,Non-Federal Agency,Blair Township,Grawn,MI,deputyclerk@blairtownship.org,null,,,,,,,,,,,
BLANCHARDLA.GOV,City,Non-Federal Agency,Town of Blanchard,Blanchard,LA,reg@abnets.biz,null,,,,,,,,,,,
BLANCHARDVILLEWI.GOV,City,Non-Federal Agency,Village of Blanchardville,Blanchardville,WI,clerk@blanchardvillewi.gov,null,,,,,,,,,,,
BLANDING-UT.GOV,City,Non-Federal Agency,City of Blanding,Blanding,UT,kpalmer@blanding-ut.gov,null,,,,,,,,,,,
BLENDONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Blendon Township ,Hudsonville,MI,(blank),null,,,,,,,,,,,
BLISSFIELDMICHIGAN.GOV,City,Non-Federal Agency,Village of Blissfield,Blissfield,MI,administrator@blissfieldmichigan.gov,null,,,,,,,,,,,
BLOOMFIELD-CT.GOV,City,Non-Federal Agency,Town of Bloomfield CT,Bloomfield,CT,(blank),null,,,,,,,,,,,
BLOOMFIELDCT.GOV,City,Non-Federal Agency,Town of Bloomfield,Bloomfield,CT,(blank),null,,,,,,,,,,,
BLOOMFIELDNM.GOV,City,Non-Federal Agency,"""City of Bloomfield"," NM""",Bloomfield,NM,DMARC1,reject,reject,100,r,r,0,none,none,afrf,86400,
BLOOMINGDALE-GA.GOV,City,Non-Federal Agency,City of Bloomingdale,Bloomingdale,GA,info@gigabitstech.com,DMARC1,quarantine,quarantine,100,r,r,1,mailto:bf5tj4l0ow@ruf.powerdmarc.com,mailto:bf5tj4l0ow@rua.powerdmarc.com,afrf,86400,
BLOOMINGGROVE-NY.GOV,City,Non-Federal Agency,Town of Blooming Grove,Blooming Grove,NY,supervisor@bloominggrove-ny.gov,null,,,,,,,,,,,
BLOOMINGTONELECTIONSIL.GOV,City,Non-Federal Agency,City of Bloomington Election Commission,Bloomington,IL,(blank),null,,,,,,,,,,,
BLOOMINGTONIL.GOV,City,Non-Federal Agency,City of Bloomington,Bloomington,IL,security@cityblm.org,null,,,,,,,,,,,
BLOOMINGTONMN.GOV,City,Non-Federal Agency,City of Bloomington,Bloomington,MN,mjara@bloomingtonmn.gov,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
BLOSSOMTEXAS.GOV,City,Non-Federal Agency,City of Blossom,Blossom,TX,cityofblossom@blossomtel.com,null,,,,,,,,,,,
